,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Customer_ID,Frequency,Monetary,LastPurchaseDate,Recency,R_Score,F_Score,M_Score,RFM_Score,Segment
18102,1040,580987.04,12/9/2011,1,5,5,5,555,Champions
14646,3849,528602.52,12/8/2011,2,5,5,5,555,Champions
14156,4038,313437.62,11/30/2011,10,5,5,5,555,Champions
14911,11077,291420.81,12/8/2011,2,5,5,5,555,Champions
17450,420,244784.25,12/1/2011,9,5,5,5,555,Champions
13694,1519,195640.69,12/6/2011,4,5,5,5,555,Champions
17511,1868,172132.87,12/7/2011,3,5,5,5,555,Champions
16684,718,147142.77,12/5/2011,5,5,5,5,555,Champions
12415,926,144458.37,11/15/2011,25,5,5,5,555,Champions
15061,898,126389.02,12/6/2011,4,5,5,5,555,Champions
16029,370,117763.62,11/1/2011,39,4,5,5,455,Champions
17949,156,117314.08,12/8/2011,2,5,5,5,555,Champions
15311,4306,114966.42,12/9/2011,1,5,5,5,555,Champions
13089,3315,113416.91,12/7/2011,3,5,5,5,555,Champions
12931,218,92347.34,11/18/2011,22,5,5,5,555,Champions
14298,2864,91194.49,12/1/2011,9,5,5,5,555,Champions
15769,223,88612.52,12/2/2011,8,5,5,5,555,Champions
13798,721,75428.87,12/8/2011,2,5,5,5,555,Champions
15838,206,73205.5,11/28/2011,12,5,5,5,555,Champions
17841,12435,68545.25,12/8/2011,2,5,5,5,555,Champions
16754,140,65500.07,12/2/2010,373,3,5,5,355,Loyal Customers
14096,5111,65164.79,12/5/2011,5,5,5,5,555,Champions
14088,682,64036.8,11/29/2011,11,5,5,5,555,Champions
16422,698,61920.87,11/22/2011,18,5,5,5,555,Champions
17389,429,57215.33,12/9/2011,1,5,5,5,555,Champions
13081,2280,56838.37,11/28/2011,12,5,5,5,555,Champions
16013,216,56078.44,12/6/2011,4,5,5,5,555,Champions
14680,1274,55688.5,11/14/2011,26,5,5,5,555,Champions
13093,1037,54144.25,3/9/2011,276,3,5,5,355,Loyal Customers
12748,6585,53539.64,12/9/2011,1,5,5,5,555,Champions
17850,2499,51208.87,12/2/2010,373,3,5,5,355,Loyal Customers
13408,826,50174.782,12/8/2011,2,5,5,5,555,Champions
13777,356,49638.26,12/9/2011,1,5,5,5,555,Champions
17404,292,47781.12,12/5/2011,5,5,5,5,555,Champions
13881,457,45179.1,12/6/2011,4,5,5,5,555,Champions
15749,10,44534.3,4/18/2011,236,3,2,5,325,Others
16705,691,43515.051,12/9/2011,1,5,5,5,555,Champions
12471,1135,39918.19,12/7/2011,3,5,5,5,555,Champions
15098,3,39916.5,6/10/2011,183,3,2,5,325,Others
15039,2695,39141.48,11/30/2011,10,5,5,5,555,Champions
14031,750,39019.51,12/2/2011,8,5,5,5,555,Champions
17675,1116,37642.48,12/8/2011,2,5,5,5,555,Champions
17381,163,36398.65,12/1/2011,9,5,5,5,555,Champions
12921,1499,35233.24,11/30/2011,10,5,5,5,555,Champions
17677,685,35058.46,12/8/2011,2,5,5,5,555,Champions
12678,376,34281.18,10/28/2011,43,4,5,5,455,Champions
13902,63,34095.26,3/17/2010,633,2,5,5,255,At Risk
13767,764,33903.57,12/7/2011,3,5,5,5,555,Champions
16210,256,33750.97,12/8/2011,2,5,5,5,555,Champions
16779,1040,32809.03,12/7/2011,3,5,5,5,555,Champions
15856,1102,32275.95,12/5/2011,5,5,5,5,555,Champions
14258,300,32051.34,11/30/2011,10,5,5,5,555,Champions
17428,720,31466.76,12/9/2011,1,5,5,5,555,Champions
17940,35,30306.79,10/21/2011,50,4,5,5,455,Champions
12709,490,30291.76,11/24/2011,16,5,5,5,555,Champions
14606,6359,29951.37,12/8/2011,2,5,5,5,555,Champions
12681,1424,29834.76,11/25/2011,15,5,5,5,555,Champions
13078,791,29018.06,12/6/2011,4,5,5,5,555,Champions
13098,572,28882.44,12/8/2011,2,5,5,5,555,Champions
17857,56,27347.04,12/5/2011,5,5,5,5,555,Champions
14527,2639,27246.88,12/7/2011,3,5,5,5,555,Champions
16333,45,26626.8,12/2/2011,8,5,5,5,555,Champions
15513,547,26437.05,11/6/2011,34,4,5,5,455,Champions
17865,1010,26312.19,11/9/2011,31,4,5,5,455,Champions
18251,108,26278.86,9/13/2011,88,4,5,5,455,Champions
13802,448,26259.11,7/24/2011,139,3,5,5,355,Loyal Customers
12731,393,25775.71,11/16/2011,24,5,5,5,555,Champions
14062,340,25585.65,11/30/2011,10,5,5,5,555,Champions
12744,339,25317.06,10/19/2011,52,4,5,5,455,Champions
12939,86,25264.8,10/6/2011,65,4,5,5,455,Champions
14895,900,25119.54,12/2/2011,8,5,5,5,555,Champions
15498,941,24972.86,12/7/2011,3,5,5,5,555,Champions
12621,756,24311.2,12/8/2011,2,5,5,5,555,Champions
16525,353,24151.3,12/7/2011,3,5,5,5,555,Champions
13001,1015,24042.65,12/5/2011,5,5,5,5,555,Champions
14607,203,23763.13,11/24/2011,16,5,5,5,555,Champions
12482,204,23691.4,5/12/2010,577,2,5,5,255,At Risk
17920,1640,23581.78,12/5/2011,5,5,5,5,555,Champions
15640,748,23494.31,12/5/2011,5,5,5,5,555,Champions
12409,264,23419.29,9/22/2011,79,4,5,5,455,Champions
16133,544,22992.26,12/6/2011,4,5,5,5,555,Champions
